GEO,2023,2024,2025
AT,96.53,96.35,96.74
AT1,98.0,97.82,97.93
AT11,94.04,95.44,95.19
AT111,91.69,96.22,96.49
AT112,97.23,99.27,99.02
AT113,89.61,88.73,88.29
AT12,96.43,95.76,96.08
AT121,96.19,95.08,95.41
AT122,97.16,95.9,95.94
AT123,98.35,98.14,98.15
AT124,93.94,91.67,92.65
AT125,86.25,84.5,84.59
AT126,97.57,98.19,98.36
AT127,99.29,99.29,99.74
AT13,99.99,100.0,100.0
AT130,99.99,100.0,100.0
AT2,92.89,92.09,93.11
AT21,90.55,88.27,89.64
AT211,95.47,94.55,95.06
AT212,87.14,83.8,87.96
AT213,83.67,79.62,80.35
AT22,93.95,93.82,94.68
AT221,97.82,98.21,98.94
AT222,91.88,88.45,93.55
AT223,94.15,91.61,90.96
AT224,91.82,92.3,93.08
AT225,92.5,92.89,92.79
AT226,86.27,87.47,90.08
AT3,96.8,96.95,97.33
AT31,95.33,95.46,96.28
AT311,91.02,93.24,94.98
AT312,98.35,98.25,98.7
AT313,92.51,90.31,90.17
AT314,92.94,92.57,94.75
AT315,97.06,97.57,98.14
AT32,98.45,98.89,98.82
AT321,89.55,95.46,95.66
AT322,98.87,98.59,98.62
AT323,98.74,99.21,99.09
AT33,96.99,97.04,97.05
AT331,98.3,97.83,96.59
AT332,98.18,97.95,98.64
AT333,83.41,85.85,83.26
AT334,94.77,95.29,94.93
AT335,98.82,98.64,98.65
AT34,99.69,99.7,99.71
AT341,99.93,99.93,99.6
AT342,99.62,99.64,99.75
BE,97.85,98.71,99.12
BE1,100.0,100.0,100.0
BE10,100.0,100.0,100.0
BE100,100.0,100.0,100.0
BE2,99.98,99.99,100.0
BE21,99.99,100.0,100.0
BE211,100.0,100.0,100.0
BE212,100.0,100.0,100.0
BE213,99.98,100.0,100.0
BE22,99.93,100.0,100.0
BE223,100.0,100.0,100.0
BE224,99.94,100.0,100.0
BE225,99.87,99.98,99.99
BE23,99.98,99.99,99.99
BE231,100.0,100.0,100.0
BE232,100.0,100.0,100.0
BE233,99.94,99.98,99.96
BE234,100.0,100.0,100.0
BE235,100.0,100.0,100.0
BE236,99.93,99.93,99.95
BE24,100.0,100.0,100.0
BE241,100.0,100.0,100.0
BE242,100.0,100.0,100.0
BE25,99.98,99.99,100.0
BE251,99.98,99.98,100.0
BE252,99.91,99.95,99.97
BE253,100.0,100.0,100.0
BE254,100.0,100.0,100.0
BE255,99.97,99.99,99.99
BE256,100.0,100.0,100.0
BE257,100.0,100.0,100.0
BE258,99.83,99.97,100.0
BE3,93.27,95.94,97.22
BE31,99.33,99.66,99.79
BE310,99.33,99.66,99.79
BE32,95.27,97.78,98.02
BE323,96.2,98.91,99.17
BE328,93.75,97.31,95.49
BE329,99.19,99.28,99.81
BE32A,89.39,95.46,94.96
BE32B,99.07,99.43,99.5
BE32C,91.44,98.47,98.72
BE32D,86.67,88.7,95.44
BE33,95.51,97.67,98.89
BE331,90.41,95.64,95.95
BE332,97.42,98.38,99.81
BE334,92.96,99.05,99.72
BE335,94.18,96.48,97.82
BE336,93.94,96.76,97.8
BE34,79.72,82.94,87.96
BE341,93.22,93.61,90.37
BE342,83.57,84.92,93.44
BE343,82.06,89.9,97.86
BE344,79.25,81.49,85.57
BE345,58.3,62.84,72.38
BE35,85.79,91.65,94.67
BE351,71.12,80.28,88.9
BE352,93.7,97.98,99.18
BE353,72.86,80.71,82.91
BG,70.28,73.57,75.54
BG3,63.83,68.11,69.7
BG31,53.29,60.94,61.43
BG311,57.0,57.88,57.89
BG312,58.43,59.63,59.9
BG313,54.69,58.29,58.58
BG314,50.53,61.35,62.46
BG315,49.09,66.95,67.03
BG32,63.6,66.16,69.57
BG321,63.8,65.25,66.35
BG322,78.56,80.89,82.31
BG323,72.04,75.0,81.79
BG324,39.92,44.42,51.27
BG325,56.4,58.72,58.73
BG33,66.63,72.75,74.0
BG331,77.8,84.69,85.04
BG332,60.65,70.69,75.03
BG333,52.68,56.61,58.17
BG334,48.3,48.39,48.37
BG34,69.17,70.67,72.02
BG341,70.77,72.51,73.35
BG342,56.73,57.88,61.21
BG343,67.22,67.58,69.57
BG344,75.09,76.92,77.52
BG4,76.51,78.84,81.18
BG41,84.66,85.94,88.11
BG411,95.71,96.57,97.79
BG412,62.08,61.93,73.38
BG413,63.42,66.66,67.19
BG414,75.32,78.2,78.23
BG415,73.86,75.96,76.03
BG42,64.15,68.08,70.66
BG421,78.69,81.74,83.42
BG422,57.6,65.46,66.12
BG423,49.29,54.13,59.75
BG424,49.2,53.76,55.77
BG425,43.19,43.19,48.19
CH,97.59,97.88,98.43
CH0,97.59,97.88,98.43
CH01,98.02,98.21,98.53
CH011,98.01,98.31,98.74
CH012,95.21,95.41,95.91
CH013,100.0,100.0,100.0
CH02,93.96,94.74,96.18
CH021,93.51,94.54,95.85
CH022,93.19,93.96,96.47
CH023,97.48,98.28,98.45
CH024,97.16,97.29,97.27
CH025,82.96,81.6,88.28
CH03,99.12,99.29,99.65
CH031,100.0,100.0,100.0
CH032,99.0,99.11,99.39
CH033,98.92,99.16,99.66
CH04,99.77,99.81,99.77
CH040,99.77,99.81,99.77
CH05,97.9,98.15,98.78
CH051,99.01,99.01,99.03
CH052,98.01,97.56,99.44
CH053,98.89,98.94,99.43
CH054,98.25,98.3,97.75
CH055,99.07,99.07,99.17
CH056,93.2,94.09,95.8
CH057,98.7,99.21,99.86
CH06,98.23,98.26,98.61
CH061,98.44,98.48,98.7
CH062,90.9,91.03,95.24
CH063,98.73,98.63,98.64
CH064,96.07,96.7,97.87
CH065,97.61,97.62,97.33
CH066,99.87,99.8,99.86
CH07,97.84,98.27,98.42
CH070,97.84,98.27,98.42
CY,77.66,82.4,84.83
CY0,77.66,82.4,84.83
CY00,77.66,82.4,84.83
CY000,77.66,82.4,84.83
CZ,71.41,75.04,76.93
CZ0,71.41,75.04,76.93
CZ01,99.99,99.99,100.0
CZ010,99.99,99.99,100.0
CZ02,61.81,68.2,71.93
CZ020,61.81,68.2,71.93
CZ03,58.89,63.96,64.79
CZ031,63.6,65.52,66.86
CZ032,53.76,62.27,62.55
CZ04,76.83,80.63,81.44
CZ041,68.01,75.18,75.39
CZ042,79.96,82.56,83.59
CZ05,69.63,73.98,77.52
CZ051,70.48,77.51,83.93
CZ052,71.85,76.42,79.36
CZ053,66.55,68.4,70.09
CZ06,63.52,68.88,71.31
CZ063,53.57,56.86,60.06
